Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type *,Charge Unit,Start Date,End Date *,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246371,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,CARLTON MC,Fixed,,Delivery,0
GLGT,246370,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,CARLTON MC,Fixed,,Delivery,1.51846
GLGT,246236,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,ENGADINE,Fixed,,Delivery,0
GLGT,246183,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246366,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD REC,Location,CARLTON MC,Fixed,,Delivery,0
GLGT,246291,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,FORTUNE LAKE,Fixed,,Delivery,0
GLGT,246237,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,DNU-FARWELL POOL,Fixed,,Delivery,0
GLGT,246262,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246259,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,DNU-EMERSON POOL,Fixed,,Delivery,0
GLGT,246261,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,FORTUNE LAKE,Fixed,,Delivery,0
GLGT,246260,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,DNU-FARWELL POOL,Fixed,,Delivery,0
GLGT,246369,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,CARLTON MC,Fixed,,Delivery,0.42431
GLGT,246238,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246389,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,FARWELL MC,Fixed,,Delivery,1.73441
GLGT,246372,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW RECEIPT,Location,CARLTON MC,Fixed,,Delivery,0
GLGT,246354,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,WAKEFIELD,Fixed,,Delivery,0
GLGT,246202,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,DEWARD REC,Fixed,,Delivery,2.80007
GLGT,246209,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,RAPID RIVER,Fixed,,Delivery,0
GLGT,246208,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,MIDLAND,Fixed,,Delivery,0
GLGT,246233,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,CLOW MC,Fixed,,Delivery,0
GLGT,246197,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD REC,Location,LAMMERS,Fixed,,Delivery,1.73441
GLGT,246234,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,DEWARD REC,Fixed,,Delivery,0
GLGT,246196,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD REC,Location,FORTUNE LAKE,Fixed,,Delivery,0.42431
GLGT,246271,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS DEC,Location,ST CLAIR MC,Fixed,,Delivery,0.20256
GLGT,246299,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW RECEIPT,Location,FORTUNE LAKE,Fixed,,Delivery,2.37661
GLGT,246232,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,CHIPPEWA,Fixed,,Delivery,0
GLGT,246272,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS DEC,Location,TRUMBLE ROAD,Fixed,,Delivery,2.16348
GLGT,246300,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW RECEIPT,Location,LAMMERS,Fixed,,Delivery,1.94941
GLGT,246231,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,DNU-CARLTON POOL,Fixed,,Delivery,0
GLGT,246386,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,EMERSON MC,Fixed,,Delivery,0
GLGT,246377,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,EMERSON MC,Fixed,,Delivery,0
GLGT,246217,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,CLOW MC,Fixed,,Delivery,0.64508
GLGT,246290,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,DNU-FARWELL POOL,Fixed,,Delivery,0
GLGT,246157,FT,FUEL,Percent,6/1/2025,6/30/2025,CD,,Location,DNU-EMERSON POOL,Location,DNU-SAULT STE MARIE TCPL,Fixed,,Receipt,2.16348
GLGT,246297,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW RECEIPT,Location,DNU-CARLTON POOL,Fixed,,Delivery,2.58882
GLGT,246206,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,LAMMERS,Fixed,,Delivery,0.20256
GLGT,246235,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,DNU-EMERSON POOL,Fixed,,Delivery,0
GLGT,246203,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,ENGADINE,Fixed,,Delivery,2.80007
GLGT,246221,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,FORTUNE LAKE,Fixed,,Delivery,0
GLGT,246433,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,CLOW RECEIPT,Fixed,,Delivery,0
GLGT,246434,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON MC,Location,CLOW RECEIPT,Fixed,,Delivery,0.20256
GLGT,246216,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,CHIPPEWA,Fixed,,Delivery,0.42431
GLGT,246435,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,CLOW RECEIPT,Fixed,,Delivery,0
GLGT,246353,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,TRUMBLE ROAD,Fixed,,Delivery,1.30156
GLGT,246204,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,DNU-FARWELL POOL,Fixed,,Delivery,1.30156
GLGT,246351,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,RATTLE RUN MC,Fixed,,Delivery,0
GLGT,246368,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,CARLTON MC,Fixed,,Delivery,2.80007
GLGT,246270,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS DEC,Location,DNU-ST CLAIR POOL,Fixed,,Delivery,2.16348
GLGT,246205,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,FORTUNE LAKE,Fixed,,Delivery,0.64508
GLGT,246269,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,WAKEFIELD,Location,DEWARD REC,Fixed,,Delivery,0
GLGT,246436,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,CLOW RECEIPT,Fixed,,Delivery,0
GLGT,246268,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,WAKEFIELD,Fixed,,Delivery,0
GLGT,246390,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,FARWELL MC,Fixed,,Delivery,2.37661
GLGT,246375,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,CARLTON MC,Fixed,,Delivery,0.42431
GLGT,246432,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,CLOW RECEIPT,Fixed,,Delivery,0
GLGT,246207,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246414,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,WAKEFIELD MC,Fixed,,Delivery,0
GLGT,246303,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON MC,Location,BELLE RIVER MILLS DEC,Fixed,,Delivery,2.37661
GLGT,246380,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,EMERSON MC,Fixed,,Delivery,0
GLGT,246328,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,FORTUNE LAKE,Fixed,,Delivery,2.16348
GLGT,246246,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,CLOW MC,Fixed,,Delivery,1.0837
GLGT,246332,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,MIDLAND,Fixed,,Delivery,0.20256
GLGT,246331,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,MANISTIQUE,Fixed,,Delivery,1.51846
GLGT,246330,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,LAMMERS,Fixed,,Delivery,0.64508
GLGT,246329,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,GRAND RAPIDS NN,Fixed,,Delivery,2.80007
GLGT,246327,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,ENGADINE,Fixed,,Delivery,0.20256
GLGT,246295,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,DNU-ST CLAIR POOL,Fixed,,Delivery,0
GLGT,246333,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,RAPID RIVER,Fixed,,Delivery,2.16348
GLGT,246326,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,DNU-EMERSON POOL,Fixed,,Delivery,0.20256
GLGT,246325,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,DEWARD REC,Fixed,,Delivery,1.51846
GLGT,246324,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,CLOW MC,Fixed,,Delivery,0.64508
GLGT,246323,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,CHIPPEWA,Fixed,,Delivery,2.80007
GLGT,246322,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,DNU-CARLTON POOL,Fixed,,Delivery,2.16348
GLGT,246247,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,DNU-EMERSON POOL,Fixed,,Delivery,1.0837
