Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246213,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,WAKEFIELD,Fixed,,Delivery,0
GLGT,246190,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,EMERSON,Fixed,,Delivery,0
GLGT,246289,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,EMERSON,Fixed,,Delivery,0
GLGT,246191,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,FORTUNE LAKE,Fixed,,Delivery,1.51846
GLGT,246189,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,CARLTON,Fixed,,Delivery,0.86487
GLGT,246186,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,ST CLAIR,Fixed,,Delivery,2.16348
GLGT,246253,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,TRUMBLE ROAD,Fixed,,Delivery,0
GLGT,246252,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,ST CLAIR,Fixed,,Delivery,0
GLGT,246218,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,DEWARD,Fixed,,Delivery,0.42431
GLGT,246282,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,BELLE RIVER MILLS,Fixed,,Delivery,0
GLGT,246185,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,RATTLE RUN,Fixed,,Delivery,2.16348
GLGT,246379,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD,Location,EMERSON,Fixed,,Delivery,1.73441
GLGT,246187,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,TRUMBLE ROAD,Fixed,,Delivery,2.16348
GLGT,246192,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,LAMMERS,Fixed,,Delivery,0.42431
