origin,region,state,regionType,uom,mileLower,mileUpper,productType,season,entryDate,amount,tons,id,last_update_date
"OTTAWA, IL",IL W,IL,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,0,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"WILMINGTON, NC",NC NE,NC,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,18,25,"NC NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
"BILLINGS, MT",WA E,WA,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,4,25,"WA E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"ENID, OK",MO NW,MO,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"MO NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"SAINT PAUL, MN",IA NE,IA,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,4,25,"IA NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|SAINT PAUL, MN",2023-09-28
"OTTAWA, IL",MN S,MN,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,0,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"BURLEY, ID",UT E,UT,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,18,25,"UT E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"WILMINGTON, NC",SC NW,SC,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,18,25,"SC NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
"BILLINGS, MT",MT E,MT,DESTINATION,$/MI,0,60,SUPERU,2023 Q4,2023-09-28,18,25,"MT E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|0|#|60|#|2023 Q4|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"OTTAWA, IL",IA NE,IA,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,0,25,"IA NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"INOLA, OK",MO SE,MO,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,3.65,25,"MO SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|INOLA, OK",2023-09-28
"JEFFERSONVILLE, IN",IA NE,IA,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,18,25,"IA NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
