originLocation,destinationLocation,equipmentType,carrier,productType,rateType,effectiveDate,expirationDate,miles,fsc,grouping,equipCarCost,equipPerTonCost,totalCost,pvtCarCost,pvtPerTonCost,pvtTotalCost,costPerMile,last_update_date,color,id
"CHICAGO, IL","ROELYN, IA",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,387,1.99,IA - INTERIOR IOWA HEAVY,4444,45.81,47.81,3968,,42.9,0.1235,2023-07-01,red,CHICAGO|#|IL|#|ROELYN|#|IA|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|IA - INTERIOR IOWA HEAVY
"ENID, OK","IMPERIAL, NE",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,824,,,,,,,291.42,294.91,0.3579,2023-09-01,orange,ENID|#|OK|#|IMPERIAL|#|NE|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"BRANDON, MB","FARMER CITY, IL",SINGLE,CN,10-34-0,C,2023-01-06,2023-12-31,1279,,,,,,4418,45.08,54.32,0.0425,2023-01-06,grey,BRANDON|#|MB|#|FARMER CITY|#|IL|#|CN|#|SINGLE|#|10-34-0|#|C|#|2023-01-06|#|2023-12-31|#|
"ENID, OK","ERSKINE, MN",100 UT,BNSF,SUPERU,T,2023-07-01,2023-12-31,1141,3.88,100 UT,,44.46,48.34,,42.69,46.57,0.0424,2023-07-01,orange,ENID|#|OK|#|ERSKINE|#|MN|#|BNSF|#|100 UT|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|100 UT
"FT WORTH, TX","SLATON, TX",SINGLE,BNSF,METHANOL,T,2023-10-01,2024-03-31,289,,,,,,5847,,5942.37,0.2337,2023-10-01,orange,FT WORTH|#|TX|#|SLATON|#|TX|#|BNSF|#|SINGLE|#|METHANOL|#|T|#|2023-10-01|#|2024-03-31|#|
"MICHOUD, LA","CHICAGO, IL",SINGLE,CSXT,DAP,T,2023-10-04,2024-06-30,1055,,"",4140,42.68,42.68,3760,,38.76,0.0405,2023-10-04,blue,MICHOUD|#|LA|#|CHICAGO|#|IL|#|CSXT|#|SINGLE|#|DAP|#|T|#|2023-10-04|#|2024-06-30|#|
"SAINT LOUIS, MO","IPSWICH, SD",85 UT,BNSF,MAP,T,2023-07-01,2023-12-31,909,3.09,85 UT,,34.51,37.6,,,,0.0414,2023-07-01,orange,SAINT LOUIS|#|MO|#|IPSWICH|#|SD|#|BNSF|#|85 UT|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"ENID, OK","YOUENS, TX",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,541,,,,,,,208.58,210.87,0.3898,2023-09-01,orange,ENID|#|OK|#|YOUENS|#|TX|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"CHICAGO, IL","GENESEO, IL",SINGLE,IAIS,10-34-0,T,2023-10-01,2024-09-30,161,,QUAD CITIES IAIS GRP,,,,1734,17.69,19.07,0.1185,2023-10-01,grey,CHICAGO|#|IL|#|GENESEO|#|IL|#|IAIS|#|SINGLE|#|10-34-0|#|T|#|2023-10-01|#|2024-09-30|#|QUAD CITIES IAIS GRP
"BRANDON, MB","OSAGE, IA",SINGLE,CN,10-34-0,Q,,,1280,,,,,,5098,52.02,59.78,0.0467,2023-09-28,grey,BRANDON|#|MB|#|OSAGE|#|IA|#|CN|#|SINGLE|#|10-34-0|#|Q|#||#||#|
"ENID, OK","MORRILL, NE",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,978,,,,,,,343.71,347.85,0.3557,2023-09-01,orange,ENID|#|OK|#|MORRILL|#|NE|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"ENID, OK","SUGAR CITY, ID",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,1438,7.41,ID - IDAHO FALLS,7779,80.2,87.61,6946,71.61,79.02,0.0609,2023-07-01,red,ENID|#|OK|#|SUGAR CITY|#|ID|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"JUDD, IA","EDGERTON, WI",SINGLE,CN-CHGO-WSOR,UAN,F,,,483,,,,,,,,39.83,0.0825,2023-08-01,grey,JUDD|#|IA|#|EDGERTON|#|WI|#|CN-CHGO-WSOR|#|SINGLE|#|UAN|#|F|#||#||#|
"CHALMETTE, LA","BLOOMSBURY, NJ",SINGLE,NS,DAP,Q,,,1315,,"",,,,,,62.34,,2023-03-17,grey,CHALMETTE|#|LA|#|BLOOMSBURY|#|NJ|#|NS|#|SINGLE|#|DAP|#|Q|#||#||#|
"NORA SPRINGS, IA","MARBLE ROCK, IA",SINGLE,IANR,DAP,C,2023-07-01,2024-06-30,16,0.11,"",927,9.56,9.66,807,,8.43,0.6039,2023-07-01,grey,NORA SPRINGS|#|IA|#|MARBLE ROCK|#|IA|#|IANR|#|SINGLE|#|DAP|#|C|#|2023-07-01|#|2024-06-30|#|
"ENID, OK","WEATHERFORD, OK",SINGLE,GNBC-CLNTN-FMRC,UREA,C,2022-10-01,2023-12-31,,,,994,10.25,10.25,994,10.25,10.25,,2022-10-01,grey,ENID|#|OK|#|WEATHERFORD|#|OK|#|GNBC-CLNTN-FMRC|#|SINGLE|#|UREA|#|C|#|2022-10-01|#|2023-12-31|#|
"BEAUMONT, TX","CENTRAL FERRY, WA",SINGLE,UP,AMMONIA,Q,,,2574,,,,,,22150,283.97,300.47,0.1167,2023-04-06,red,BEAUMONT|#|TX|#|CENTRAL FERRY|#|WA|#|UP|#|SINGLE|#|AMMONIA|#|Q|#||#||#|
"ENID, OK","GLADE, WA",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,1977,6.73,PT TO PT,,75.48,82.21,,73.18,69.18,0.0416,2023-07-01,orange,ENID|#|OK|#|GLADE|#|WA|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"CHICAGO, IL","ALBION, NY",SINGLE,CSXT-LOCKP-FRR,ATS,T,2023-07-01,2024-06-30,578,,PF - NY ROCHESTER,,,,3949,40.3,40.3,0.0697,2023-07-01,grey,CHICAGO|#|IL|#|ALBION|#|NY|#|CSXT-LOCKP-FRR|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - NY ROCHESTER
"ENID, OK","PALOS, AL",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,815,,,,,,,303.32,306.77,0.3764,2023-09-01,orange,ENID|#|OK|#|PALOS|#|AL|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"CHICAGO, IL","DODGE CITY, KS",SINGLE,BNSF,CENTURO,C,2023-07-01,2023-12-31,775,,,,,,,63.88,66.49,0.0858,2023-07-01,orange,CHICAGO|#|IL|#|DODGE CITY|#|KS|#|BNSF|#|SINGLE|#|CENTURO|#|C|#|2023-07-01|#|2023-12-31|#|
"MEMPHIS, TN","WILLOW SPRINGS, IL",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,537,,,,,,9368,120.1,124.19,0.2313,2023-01-01,grey,MEMPHIS|#|TN|#|WILLOW SPRINGS|#|IL|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"NEW ORLEANS, LA","SUMMITVILLE, TN",SINGLE,CSXT-TULLA-CFWR,MAP,Q,,,708,,"",4614,47.57,47.57,4238,,43.69,0.0672,2023-10-20,grey,NEW ORLEANS|#|LA|#|SUMMITVILLE|#|TN|#|CSXT-TULLA-CFWR|#|SINGLE|#|MAP|#|Q|#||#||#|
"CHICAGO, IL","SENECA, IL",SINGLE,IAIS,10-34-0,T,2023-10-01,2024-09-30,75,,PEORIA IAIS GRP,,,,1833,18.7,19.35,0.258,2023-10-01,grey,CHICAGO|#|IL|#|SENECA|#|IL|#|IAIS|#|SINGLE|#|10-34-0|#|T|#|2023-10-01|#|2024-09-30|#|PEORIA IAIS GRP
"ENID, OK","SYRACUSE, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,481,2.48,PT TO PT,3069,31.64,34.12,2741,28.26,30.74,0.0709,2023-07-01,red,ENID|#|OK|#|SYRACUSE|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|PT TO PT
"BRANDON, MB","DALTON CITY, IL",SINGLE,CN,10-34-0,Q,,,1206,,,,,,5001,51.03,58.34,0.0484,2022-10-10,grey,BRANDON|#|MB|#|DALTON CITY|#|IL|#|CN|#|SINGLE|#|10-34-0|#|Q|#||#||#|
"MICHOUD, LA","DANVILLE, IL",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,928,,PF - IL DANVILLE,5327,54.92,54.92,4536,46.76,46.76,0.0592,2023-03-01,blue,MICHOUD|#|LA|#|DANVILLE|#|IL|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - IL DANVILLE
"BRANDON, MB","BURLEY, ID",SINGLE,CPRS-KINGS-UP,UAN,F,,,956,,,,,,,,111.13,0.1162,2023-07-01,grey,BRANDON|#|MB|#|BURLEY|#|ID|#|CPRS-KINGS-UP|#|SINGLE|#|UAN|#|F|#||#||#|
"GRANITE CITY, IL","SAGINAW, MI",SINGLE,CSXT-PLYMT-LSRC,UREA,T,2023-03-01,2024-02-29,602,,PF - MI DETROIT,4783,49.31,49.31,4134,42.62,42.62,0.0819,2023-03-01,grey,GRANITE CITY|#|IL|#|SAGINAW|#|MI|#|CSXT-PLYMT-LSRC|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - MI DETROIT
"SAINT LOUIS, MO","KINDRED, ND",85 UT,BNSF,MAP,T,2023-07-01,2023-12-31,1034,3.52,85 UT,,36.49,40.01,,,,0.0387,2023-07-01,orange,SAINT LOUIS|#|MO|#|KINDRED|#|ND|#|BNSF|#|85 UT|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"BRANDON, MB","THAMESVILLE, ON",SINGLE,CN,UAN,C,2023-01-01,2023-12-31,1516,,,,,,7329,82.35,94.41,0.0623,2023-01-01,grey,BRANDON|#|MB|#|THAMESVILLE|#|ON|#|CN|#|SINGLE|#|UAN|#|C|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","LULING, LA",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,790,4.07,LA - SOUTH,5482,56.52,60.59,4894,50.45,54.53,0.0767,2023-07-01,red,ENID|#|OK|#|LULING|#|LA|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|LA - SOUTH
"ENID, OK","IVORY, CA",SINGLE,UP,UREA,Q,,,1949,10.05,,8736,90.06,100.11,7800,80.41,90.46,0.0514,2023-10-18,red,ENID|#|OK|#|IVORY|#|CA|#|UP|#|SINGLE|#|UREA|#|Q|#||#||#|
"BATON ROUGE, LA","KALAMAZOO, MI",SINGLE,CN-KALAM-GDLK,METHANOL,Q,,,1049,,,,,,7275,,7898.11,0.0856,2023-08-03,grey,BATON ROUGE|#|LA|#|KALAMAZOO|#|MI|#|CN-KALAM-GDLK|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"KINGSGATE, BC","NEW PLYMOUTH, ID",SINGLE,UP,UAN,T,2023-07-01,2024-06-30,578,,ID - NAMPA,,,,4988,50.9,53.85,0.0932,2023-07-01,red,KINGSGATE|#|BC|#|NEW PLYMOUTH|#|ID|#|UP|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|ID - NAMPA
"NEWPORT, MN","RENVILLE, MN",SINGLE,TCWR,DAP,Q,2023-06-15,,114,0.59,PT TO PT,,11.27,11.86,,,10.11,0.104,2023-06-15,grey,NEWPORT|#|MN|#|RENVILLE|#|MN|#|TCWR|#|SINGLE|#|DAP|#|Q|#|2023-06-15|#||#|PT TO PT
"EVANSTON, MS","STILLWELL, IN",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,929,,,,,,15612,200.15,207.23,0.2231,2023-01-01,grey,EVANSTON|#|MS|#|STILLWELL|#|IN|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","SAINT PAUL, MN",SINGLE,CPRS,UAN,C,2023-07-01,2024-06-30,595,,,,,,2900,29.59,32.51,0.0546,2023-07-01,grey,BRANDON|#|MB|#|SAINT PAUL|#|MN|#|CPRS|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2024-06-30|#|
"BRANDON, MB","DECATUR, MI",SINGLE,CPRS-CHGO-NS,UAN,F,,,1055,,,,,,,,62.79,0.0595,2023-08-01,grey,BRANDON|#|MB|#|DECATUR|#|MI|#|CPRS-CHGO-NS|#|SINGLE|#|UAN|#|F|#||#||#|
"KINGSGATE, BC","BURLEY, ID",SINGLE,UP,UAN,T,2023-07-01,2024-06-30,817,,ID - POCATELLO,,,,6232,63.59,67.76,0.0829,2023-07-01,red,KINGSGATE|#|BC|#|BURLEY|#|ID|#|UP|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|ID - POCATELLO
"CHICAGO, IL","EAST SAUGATUCK, MI",SINGLE,CSXT,UAN,T,2023-07-01,2024-06-30,145,,PF - MI EAST SAUGATUCK,,,,2327,23.74,23.74,0.1638,2023-07-01,blue,CHICAGO|#|IL|#|EAST SAUGATUCK|#|MI|#|CSXT|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|PF - MI EAST SAUGATUCK
"DALHOUSIE, NB","PORT COLBORNE, ON",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,925,,,,,,17719,227.17,235.57,0.2547,2023-01-01,grey,DALHOUSIE|#|NB|#|PORT COLBORNE|#|ON|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"CHICAGO, IL","ROCK SPRINGS, WI",SINGLE,WSOR,10-34-0,T,2023-08-01,2024-07-31,187,,,,,,,17.19,18.79,0.1005,2023-08-01,grey,CHICAGO|#|IL|#|ROCK SPRINGS|#|WI|#|WSOR|#|SINGLE|#|10-34-0|#|T|#|2023-08-01|#|2024-07-31|#|
"BRANDON, MB","MENTONE, IN",SINGLE,CPRS-CHGO-NS,ATS,F,,,1091,,,,,,,,57,0.0522,2023-08-01,grey,BRANDON|#|MB|#|MENTONE|#|IN|#|CPRS-CHGO-NS|#|SINGLE|#|ATS|#|F|#||#||#|
"ENID, OK","PORT LAVACA, TX",SINGLE,UP,AMMONIA,C,2023-01-01,2023-12-31,618,,TX - CORPUS CHRISTI,,,,13158,168.69,172.65,0.2794,2023-01-01,red,ENID|#|OK|#|PORT LAVACA|#|TX|#|UP|#|SINGLE|#|AMMONIA|#|C|#|2023-01-01|#|2023-12-31|#|TX - CORPUS CHRISTI
"NEW ORLEANS, LA","ASHFORD, AL",SINGLE,CSXT,MAP,T,2023-03-01,2024-02-29,442,,"",3782,38.99,38.99,3421,,35.27,0.0882,2023-03-01,blue,NEW ORLEANS|#|LA|#|ASHFORD|#|AL|#|CSXT|#|SINGLE|#|MAP|#|T|#|2023-03-01|#|2024-02-29|#|
"ROSEPORT, MN","MONTE VISTA, CO",SINGLE,UP,ATS,T,2023-07-01,2024-06-30,1218,,,,,,6018,61.41,67.62,0.0555,2023-07-01,red,ROSEPORT|#|MN|#|MONTE VISTA|#|CO|#|UP|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|
"CEDAR RAPIDS, IA","IOWA CITY, IA",SINGLE,IAIS,UREA,T,2023-10-01,2024-09-30,55,0.27,,1525,15.72,15.99,1386,14.29,14.56,0.2908,2023-10-01,grey,CEDAR RAPIDS|#|IA|#|IOWA CITY|#|IA|#|IAIS|#|SINGLE|#|UREA|#|T|#|2023-10-01|#|2024-09-30|#|
"DODGE CITY, KS","BEREA, NE",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,626,,,,,,,375.37,378.02,0.6039,2023-09-01,orange,DODGE CITY|#|KS|#|BEREA|#|NE|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"KINGSGATE, BC","MENAN, ID",SINGLE,UP,ATS,T,2023-07-01,2024-06-30,920,,ID - IDAHO FALLS,,,,4530,46.22,50.92,0.0553,2023-07-01,red,KINGSGATE|#|BC|#|MENAN|#|ID|#|UP|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"JUDD, IA","RICHVILLE, MI",SINGLE,CN-DURND-HESR,10-34-0,Q,,,678.2,,,,,,4211,42.97,47.08,0.0694,2023-07-12,grey,JUDD|#|IA|#|RICHVILLE|#|MI|#|CN-DURND-HESR|#|SINGLE|#|10-34-0|#|Q|#||#||#|
"CHALMETTE, LA","STATESBORO, GA",SINGLE,NS,DAP,C,2023-09-01,2023-11-30,745,,"",,,,,,35.87,,2023-09-01,grey,CHALMETTE|#|LA|#|STATESBORO|#|GA|#|NS|#|SINGLE|#|DAP|#|C|#|2023-09-01|#|2023-11-30|#|
"ENID, OK","INDIANAPOLIS, IN",SINGLE,BNSF-ESTL-CSXT,DEF,F,,,780,,,,,,,,62.54,0.0802,2023-07-01,grey,ENID|#|OK|#|INDIANAPOLIS|#|IN|#|BNSF-ESTL-CSXT|#|SINGLE|#|DEF|#|F|#||#||#|
"GRANITE CITY, IL","SIDNEY, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,648,3.34,NE - CHAPPELL,5478,56.47,59.81,4891,50.42,53.76,0.0923,2023-07-01,red,GRANITE CITY|#|IL|#|SIDNEY|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - CHAPPELL
"ST LOUIS (ALL), MO","GLENNS FERRY, ID",SINGLE,UP,MAP,T,2023-07-01,2024-06-30,1619,8.35,ID - GOODING,7973,82.2,90.54,7119,,81.74,0.0559,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|GLENNS FERRY|#|ID|#|UP|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2024-06-30|#|ID - GOODING
"DANVILLE, IL","DONOVAN, IL",SINGLE,KBSR,10-34-0,T,2021-11-01,,,,,,,,525,5.36,5.36,,2021-11-01,grey,DANVILLE|#|IL|#|DONOVAN|#|IL|#|KBSR|#|SINGLE|#|10-34-0|#|T|#|2021-11-01|#||#|
