originLocation,destinationLocation,equipmentType,carrier,productType,rateType,effectiveDate,expirationDate,miles,fsc,grouping,equipCarCost,equipPerTonCost,totalCost,pvtCarCost,pvtPerTonCost,pvtTotalCost,costPerMile,last_update_date,color,id
"LAFAYETTE, IN","DANVILLE, IL",SINGLE,KBSR,10-34-0,T,2021-11-01,,,,,,,,525,5.36,5.36,,2021-11-01,grey,LAFAYETTE|#|IN|#|DANVILLE|#|IL|#|KBSR|#|SINGLE|#|10-34-0|#|T|#|2021-11-01|#||#|
"SAINT JAMES, LA","CHEYENNE, WY",SINGLE,UP,METHANOL,Q,,,1519,,,,,,7871,,8630.5,0.0646,2022-10-04,red,SAINT JAMES|#|LA|#|CHEYENNE|#|WY|#|UP|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"JUDD, IA","DUBUQUE, IA",SINGLE,CN,UAN,C,2023-04-11,2023-12-31,183,,,,,,1777,18.13,19.24,0.1051,2023-04-11,grey,JUDD|#|IA|#|DUBUQUE|#|IA|#|CN|#|SINGLE|#|UAN|#|C|#|2023-04-11|#|2023-12-31|#|
"BRANDON, MB","FOWLER, IN",SINGLE,CN-KANKA-KBSR,10-34-0,Q,,,1458,,,,,,,,55.88,0.0383,2023-07-07,grey,BRANDON|#|MB|#|FOWLER|#|IN|#|CN-KANKA-KBSR|#|SINGLE|#|10-34-0|#|Q|#||#||#|
"MICHOUD, LA","PHELPS JCT, NY",SINGLE,CSXT,DAP,T,2023-03-01,2024-02-29,1470,,"",6703,69.1,69.1,6119,,63.08,0.047,2023-03-01,blue,MICHOUD|#|LA|#|PHELPS JCT|#|NY|#|CSXT|#|SINGLE|#|DAP|#|T|#|2023-03-01|#|2024-02-29|#|
"ENID, OK","TOLONO, IL",SINGLE,BNSF-ESTL-NS,SUPERU,F,,,739,,,,,67.28,,,55.89,0.091,2023-08-01,grey,ENID|#|OK|#|TOLONO|#|IL|#|BNSF-ESTL-NS|#|SINGLE|#|SUPERU|#|F|#||#||#|
"JUDD, IA","ROCHESTER, NY",SINGLE,CN-CHGO-CSXT-ROCH-RSR,UAN,F,,,960,,,,,,,,68.87,0.0717,2023-07-01,grey,JUDD|#|IA|#|ROCHESTER|#|NY|#|CN-CHGO-CSXT-ROCH-RSR|#|SINGLE|#|UAN|#|F|#||#||#|
"NEW ORLEANS, LA","GIDDINGS, TX",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,502,2.59,TX - AUSTIN,4293,44.26,46.85,3834,,42.11,0.0933,2023-07-01,red,NEW ORLEANS|#|LA|#|GIDDINGS|#|TX|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|TX - AUSTIN
"SAINT LOUIS, MO","KINDRED, ND",85 UT,BNSF,DAP,T,2023-07-01,2023-12-31,1034,3.52,85 UT,,36.49,40.01,,,,0.0387,2023-07-01,orange,SAINT LOUIS|#|MO|#|KINDRED|#|ND|#|BNSF|#|85 UT|#|DAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"CHICAGO, IL","COOLIDGE, GA",SINGLE,CSXT,UAN,T,2023-07-01,2024-06-30,974,,PF - GA COOLIDGE,,,,3985,40.66,40.66,0.0417,2023-07-01,blue,CHICAGO|#|IL|#|COOLIDGE|#|GA|#|CSXT|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|PF - GA COOLIDGE
"SLINGER, WI","HORICON, WI",SINGLE,WSOR,UAN,T,2023-08-01,2024-07-31,21,,,,,,,10.22,10.4,0.4952,2023-08-01,grey,SLINGER|#|WI|#|HORICON|#|WI|#|WSOR|#|SINGLE|#|UAN|#|T|#|2023-08-01|#|2024-07-31|#|
"KANKAKEE, IL","BOSWELL, IN",SINGLE,KBSR,ATS,T,2021-11-01,,,,,,,,525,5.36,5.36,,2021-11-01,grey,KANKAKEE|#|IL|#|BOSWELL|#|IN|#|KBSR|#|SINGLE|#|ATS|#|T|#|2021-11-01|#||#|
"SAINT LOUIS, MO","DONALD, OR",SINGLE,BNSF,DAP,T,2023-07-01,2023-12-31,2451,8.34,PT TO PT,,89.34,97.68,,,93.77,0.0399,2023-07-01,orange,SAINT LOUIS|#|MO|#|DONALD|#|OR|#|BNSF|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","LOWDER, IL",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,628,,,,,,,326.61,329.27,0.5243,2023-09-01,orange,ENID|#|OK|#|LOWDER|#|IL|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"ST LOUIS (ALL), MO","ELSTOW, SK",SINGLE,KCS-KCITY-CPRS,DAP,F,,,2252,,"",,,,,,79.96,,2023-07-01,grey,ST LOUIS (ALL)|#|MO|#|ELSTOW|#|SK|#|KCS-KCITY-CPRS|#|SINGLE|#|DAP|#|F|#||#||#|
"SAINT JAMES, LA","EGBERT, TX",SINGLE,UP,METHANOL,Q,,,1509,,,,,,7924,,8678.5,0.0654,2023-06-13,red,SAINT JAMES|#|LA|#|EGBERT|#|TX|#|UP|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"COUNCIL BLUFFS, IA","MALCOM, IA",SINGLE,IAIS,10-34-0,T,2023-10-01,2024-09-30,194,,IOWA CITY IAIS GRP,,,,2039,20.81,22.47,0.1158,2023-10-01,grey,COUNCIL BLUFFS|#|IA|#|MALCOM|#|IA|#|IAIS|#|SINGLE|#|10-34-0|#|T|#|2023-10-01|#|2024-09-30|#|IOWA CITY IAIS GRP
"ROSEPORT, MN","MENAN, ID",SINGLE,UP,ATS,T,2023-07-01,2024-06-30,1465,,ID - IDAHO FALLS,,,,6795,69.34,76.81,0.0524,2023-07-01,red,ROSEPORT|#|MN|#|MENAN|#|ID|#|UP|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"TRACY, MN","FORT PIERRE, SD",SINGLE,RCPE,UAN,C,2023-07-01,2024-06-30,258,,,,,,1709,17.44,19.54,0.0758,2023-07-01,grey,TRACY|#|MN|#|FORT PIERRE|#|SD|#|RCPE|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2024-06-30|#|
"ST LOUIS (ALL), MO","MAUMEE, OH",SINGLE,NS,DAP,Q,,,447,,"",,,,,,33.45,,2023-08-11,grey,ST LOUIS (ALL)|#|MO|#|MAUMEE|#|OH|#|NS|#|SINGLE|#|DAP|#|Q|#||#||#|
"ARCCO, IL","MARCELLUS, MI",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,309,,,,,,7424,95.18,97.53,0.3156,2023-01-01,grey,ARCCO|#|IL|#|MARCELLUS|#|MI|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"WILMINGTON, NC","MULLINS, AL",SINGLE,CSXT-DOTHA-BAYL,UREA,T,2023-03-01,2024-02-29,621,,PF - AL MONTGOMERY,6208,64,64,5439,56.07,56.07,0.1031,2023-03-01,grey,WILMINGTON|#|NC|#|MULLINS|#|AL|#|CSXT-DOTHA-BAYL|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - AL MONTGOMERY
"SUPERIOR, WI","BIGGAR, SK",SINGLE,CN,UREA,Q,,,913,5.59,,4200,43.3,48.89,3900,40.21,45.8,0.0535,2023-09-25,grey,SUPERIOR|#|WI|#|BIGGAR|#|SK|#|CN|#|SINGLE|#|UREA|#|Q|#||#||#|
"BRANDON, MB","JOLIETTE, QC",SINGLE,CPRS,UAN,C,2023-07-01,2024-06-30,1755,,,,,,7860,88.31,101.21,0.0577,2023-07-01,grey,BRANDON|#|MB|#|JOLIETTE|#|QC|#|CPRS|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2024-06-30|#|
"ENID, OK","MITCHELL, SD",85 UT,BNSF,UREA,T,2023-07-01,2023-12-31,759,2.58,85 UT,,22.36,24.94,,21.24,23.82,0.0329,2023-07-01,orange,ENID|#|OK|#|MITCHELL|#|SD|#|BNSF|#|85 UT|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"ST LOUIS (ALL), MO","NORTH LOUP, NE",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,646,3.33,NE - NCRC,4907,50.59,53.92,4381,,48.49,0.0835,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|NORTH LOUP|#|NE|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|NE - NCRC
"CEDAR RAPIDS, IA","MARBLE ROCK, IA",SINGLE,IANR,DAP,C,2023-07-01,2024-06-30,63,0.42,"",947,9.76,10.18,825,,8.92,0.1616,2023-07-01,grey,CEDAR RAPIDS|#|IA|#|MARBLE ROCK|#|IA|#|IANR|#|SINGLE|#|DAP|#|C|#|2023-07-01|#|2024-06-30|#|
"GILMAN, IL","LOGANSPORT, IN",SINGLE,TPW,10-34-0,T,2023-01-01,,86,,,,,,1928,19.67,20.38,0.2369,2023-01-01,grey,GILMAN|#|IL|#|LOGANSPORT|#|IN|#|TPW|#|SINGLE|#|10-34-0|#|T|#|2023-01-01|#||#|
"ENID, OK","LITTLE MOUNTAIN, UT",SINGLE,UP,AMMONIA,C,2023-01-01,2023-12-31,1262,,,,,,16292,208.87,216.96,0.1719,2023-01-01,red,ENID|#|OK|#|LITTLE MOUNTAIN|#|UT|#|UP|#|SINGLE|#|AMMONIA|#|C|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","BELDEN, IL",SINGLE,CPRS-MADSN-WSOR,10-34-0,F,,,941,,,,,,,,45.65,0.0485,2023-08-01,grey,BRANDON|#|MB|#|BELDEN|#|IL|#|CPRS-MADSN-WSOR|#|SINGLE|#|10-34-0|#|F|#||#||#|
"BRANDON, MB","LUXEMBURG, WI",SINGLE,CN,10-34-0,C,2023-01-01,2023-12-31,852,,,,,,4372,44.61,49.78,0.0584,2023-01-01,grey,BRANDON|#|MB|#|LUXEMBURG|#|WI|#|CN|#|SINGLE|#|10-34-0|#|C|#|2023-01-01|#|2023-12-31|#|
"SAINT LOUIS, MO","CRYSTAL, ND",85 UT,BNSF,MAP,T,2023-07-01,2023-12-31,1172,3.99,85 UT,,39.82,43.81,,,,0.0374,2023-07-01,orange,SAINT LOUIS|#|MO|#|CRYSTAL|#|ND|#|BNSF|#|85 UT|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"NEW ORLEANS, LA","ROANOKE, VA",SINGLE,NS,DEF,T,2022-07-01,,889,,,,,,,39.4,43.8,0.0493,2022-07-01,grey,NEW ORLEANS|#|LA|#|ROANOKE|#|VA|#|NS|#|SINGLE|#|DEF|#|T|#|2022-07-01|#||#|
"KANSAS CITY, MO","AUBURN, NY",SINGLE,NS,UREA,T,2023-08-01,,1147,6.15,,,44.74,50.89,,39.29,45.44,0.0444,2023-08-01,grey,KANSAS CITY|#|MO|#|AUBURN|#|NY|#|NS|#|SINGLE|#|UREA|#|T|#|2023-08-01|#||#|
"BRANDON, MB","DOON, IA",SINGLE,CN-NOYES-BNSF,UAN,F,,,723,,,,,,,,58.01,0.0802,2023-07-01,grey,BRANDON|#|MB|#|DOON|#|IA|#|CN-NOYES-BNSF|#|SINGLE|#|UAN|#|F|#||#||#|
"ENID, OK","NORFOLK, NE",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,611,3.15,NE - NCRC,3698,38.12,41.27,3372,34.76,37.91,0.0676,2023-07-01,red,ENID|#|OK|#|NORFOLK|#|NE|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|NE - NCRC
"ST LOUIS (ALL), MO","MORELAND, ID",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,1489,7.68,ID - IDAHO FALLS,7907,81.52,89.19,7059,,80.45,0.0599,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|MORELAND|#|ID|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"SAVAGE, MN","WINTHROP, MN",SINGLE,TCWR-NORWZ-MPLI,UREA,Q,2023-01-04,,72,0.37,PT TO PT,,9.88,10.25,,8.81,9.18,0.1424,2023-01-04,grey,SAVAGE|#|MN|#|WINTHROP|#|MN|#|TCWR-NORWZ-MPLI|#|SINGLE|#|UREA|#|Q|#|2023-01-04|#||#|PT TO PT
"GRANITE CITY, IL","NORTHGATE, SK",SINGLE,BNSF,MAP,T,2023-07-01,2023-12-31,1181,4.02,PT TO PT,,66.77,70.79,,,67.46,0.0599,2023-07-01,orange,GRANITE CITY|#|IL|#|NORTHGATE|#|SK|#|BNSF|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"SAINT LOUIS, MO","HUTCHINSON, KS",85 UT,BNSF,UREA,T,2023-07-01,2023-12-31,508,1.73,85 UT,,24.03,25.76,,,,0.0507,2023-07-01,orange,SAINT LOUIS|#|MO|#|HUTCHINSON|#|KS|#|BNSF|#|85 UT|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"CHICAGO, IL","STE FOY, QC",SINGLE,CN,METHANOL,Q,,,1017,,,,,,4964,,5568.1,0.0622,2023-08-15,grey,CHICAGO|#|IL|#|STE FOY|#|QC|#|CN|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"WILMINGTON, NC","ST ALBANS, VT",SINGLE,CSXT-PALMR-NECR,UREA,T,2023-03-01,2024-02-29,1138,,PF - VT BURLINGTON,6337,65.33,65.33,5639,58.13,58.13,0.0574,2023-03-01,grey,WILMINGTON|#|NC|#|ST ALBANS|#|VT|#|CSXT-PALMR-NECR|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - VT BURLINGTON
"MONTEVISTA, CO","MONTE VISTA, CO",SINGLE,SLC,ATS,T,2023-07-01,2024-06-30,0,,,,,,1100,11.22,11.22,,2023-07-01,grey,MONTEVISTA|#|CO|#|MONTE VISTA|#|CO|#|SLC|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|
"ST LOUIS (ALL), MO","KIMBERLY, ID",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,1567,8.08,ID - GOODING,7973,82.2,90.27,7119,,81.47,0.0576,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|KIMBERLY|#|ID|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|ID - GOODING
"NEW ORLEANS, LA","BUFFALO, TX",SINGLE,UP,MAP,T,2023-07-01,2024-06-30,500,2.58,TX - WACO,3491,35.99,38.57,3116,,34.7,0.0771,2023-07-01,red,NEW ORLEANS|#|LA|#|BUFFALO|#|TX|#|UP|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2024-06-30|#|TX - WACO
"ENID, OK","AMES, OK",SINGLE,GNBC,ATS,C,2022-10-01,2023-12-31,,,,,,,566,5.78,5.78,,2022-10-01,grey,ENID|#|OK|#|AMES|#|OK|#|GNBC|#|SINGLE|#|ATS|#|C|#|2022-10-01|#|2023-12-31|#|
"CHICAGO, IL","THREE RIVERS, MI",SINGLE,CSXT-GDRAP-GDLK,UAN,T,2023-07-01,2024-06-30,251,,PF - IN ELKHART,,,,2497,25.48,25.48,0.1015,2023-07-01,grey,CHICAGO|#|IL|#|THREE RIVERS|#|MI|#|CSXT-GDRAP-GDLK|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|PF - IN ELKHART
"ENID, OK","PAMBRUN, SK",SINGLE,BNSF-KCITY-CPRS,UREA,F,,,1845,,,,,95.21,,,59.14,0.0394,2023-07-01,grey,ENID|#|OK|#|PAMBRUN|#|SK|#|BNSF-KCITY-CPRS|#|SINGLE|#|UREA|#|F|#||#||#|
"JUDD, IA","ATLANTIC, IA",SINGLE,CN-CHGO-IAIS,UAN,F,,,186,,,,,,,,56.17,0.302,2023-01-01,grey,JUDD|#|IA|#|ATLANTIC|#|IA|#|CN-CHGO-IAIS|#|SINGLE|#|UAN|#|F|#||#||#|
"CHALMETTE, LA","AUBURN, NY",SINGLE,NS,MAP,Q,,,1507,,"",,,,,,63.76,,2023-03-17,grey,CHALMETTE|#|LA|#|AUBURN|#|NY|#|NS|#|SINGLE|#|MAP|#|Q|#||#||#|
"ST LOUIS (ALL), MO","PHOENIX, AZ",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,1660,8.56,AZ - PHOENIX,9541,98.36,106.92,8518,87.81,96.37,0.0644,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|PHOENIX|#|AZ|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|AZ - PHOENIX
"WILMINGTON, NC","BURNETTSVILLE, IN",SINGLE,CSXT-REYNO-TPW,UREA,F,,,996,,,,,59.32,,,51.49,0.0596,2023-03-01,grey,WILMINGTON|#|NC|#|BURNETTSVILLE|#|IN|#|CSXT-REYNO-TPW|#|SINGLE|#|UREA|#|F|#||#||#|
"ST LOUIS (ALL), MO","PIONEER, IA",SINGLE,UP,MAP,T,2023-07-01,2024-06-30,534,2.75,IA - INTERIOR IOWA LIGHT,4232,43.63,46.38,3779,,41.71,0.0869,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|PIONEER|#|IA|#|UP|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2024-06-30|#|IA - INTERIOR IOWA LIGHT
"SOMMER, IL","CRESCENT CITY, IL",SINGLE,TPW,UREA,T,2023-01-01,2023-12-31,101,0.92,,1503,15.49,16.41,1503,15.49,16.41,0.1625,2023-01-01,grey,SOMMER|#|IL|#|CRESCENT CITY|#|IL|#|TPW|#|SINGLE|#|UREA|#|T|#|2023-01-01|#|2023-12-31|#|
"MICHOUD, LA","NIVERVILLE, NY",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,1569,,PF - NY NIVERVILLE,6288,64.82,64.82,5240,54.02,54.02,0.0413,2023-03-01,blue,MICHOUD|#|LA|#|NIVERVILLE|#|NY|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - NY NIVERVILLE
"NEWPORT, MN","SHOAL LAKE, MB",SINGLE,CPRS,DAP,C,2023-09-19,2024-06-30,640,3.17,"",4270,44.02,47.19,3882,,43.19,0.0737,2023-09-19,grey,NEWPORT|#|MN|#|SHOAL LAKE|#|MB|#|CPRS|#|SINGLE|#|DAP|#|C|#|2023-09-19|#|2024-06-30|#|
"KANKAKEE, IL","BEAVERVILLE, IL",SINGLE,KBSR,10-34-0,T,2021-11-01,,,,,,,,525,5.36,5.36,,2021-11-01,grey,KANKAKEE|#|IL|#|BEAVERVILLE|#|IL|#|KBSR|#|SINGLE|#|10-34-0|#|T|#|2021-11-01|#||#|
"KINGSGATE, BC","POCATELLO, ID",SINGLE,UP,UAN,T,2023-07-01,2024-06-30,855,,ID - POCATELLO,,,,6232,63.59,69.52,0.0813,2023-07-01,red,KINGSGATE|#|BC|#|POCATELLO|#|ID|#|UP|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|ID - POCATELLO
"NEWPORT, MN","SANBORN, MN",SINGLE,CPRS,DAP,Q,,,279,1.38,"",,,,2317,,25.27,,2023-08-02,grey,NEWPORT|#|MN|#|SANBORN|#|MN|#|CPRS|#|SINGLE|#|DAP|#|Q|#||#||#|
"MOBILE, AL","OSHKOSH, WI",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1126,,,,,,22733,291.45,300.02,0.2665,2023-01-01,grey,MOBILE|#|AL|#|OSHKOSH|#|WI|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","ELK MOUND, WI",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,867,4.47,WI - NORTH,4446,45.84,50.3,3970,40.93,45.4,0.058,2023-07-01,red,ENID|#|OK|#|ELK MOUND|#|WI|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|WI - NORTH
"SAINT LOUIS, MO","NORTHGATE, SK",SINGLE,BNSF,MAP,T,2023-07-01,2023-12-31,1175,4,PT TO PT,,62.38,66.38,,,,0.0565,2023-07-01,orange,SAINT LOUIS|#|MO|#|NORTHGATE|#|SK|#|BNSF|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"WILMINGTON, NC","KINGSTREE, SC",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,164,,PF - SC KINGSTREE,3458,35.65,35.65,2883,29.72,29.72,0.2174,2023-03-01,blue,WILMINGTON|#|NC|#|KINGSTREE|#|SC|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - SC KINGSTREE
"NEW ORLEANS, LA","MEIGS, GA",SINGLE,CSXT-THOMA-GFRR,DEF,T,2023-07-01,2023-12-31,542,,PF - GA ALBANY,,,,4162,39.64,39.64,0.0731,2023-07-01,grey,NEW ORLEANS|#|LA|#|MEIGS|#|GA|#|CSXT-THOMA-GFRR|#|SINGLE|#|DEF|#|T|#|2023-07-01|#|2023-12-31|#|PF - GA ALBANY
"JUDD, IA","BURNETTSVILLE, IN",SINGLE,CN-GILMN-TPW,UAN,C,2023-01-01,2023-12-31,514,,,,,,,,46,0.0895,2023-01-01,grey,JUDD|#|IA|#|BURNETTSVILLE|#|IN|#|CN-GILMN-TPW|#|SINGLE|#|UAN|#|C|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","MCCOOK, NE",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,762,,,,,,,275.7,278.92,0.366,2023-09-01,orange,ENID|#|OK|#|MCCOOK|#|NE|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"ENID, OK","MONCTON, NB",SINGLE,BNSF-CHGO-CN,SUPERU,F,,,2186,,,,,128.91,,,114.41,0.059,2023-07-01,grey,ENID|#|OK|#|MONCTON|#|NB|#|BNSF-CHGO-CN|#|SINGLE|#|SUPERU|#|F|#||#||#|
"CHICAGO, IL","REYNOLDS, IN",SINGLE,CSXT,ATS,T,2023-07-01,2024-06-30,99,,PF - IN WHITESVILLE,,,,2920,29.8,29.8,0.301,2023-07-01,blue,CHICAGO|#|IL|#|REYNOLDS|#|IN|#|CSXT|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - IN WHITESVILLE
"SAINT JAMES, LA","SLATON, TX",SINGLE,UP-FORTH-BNSF,METHANOL,F,,,770,,,,,,,,7910.87,,2023-10-01,grey,SAINT JAMES|#|LA|#|SLATON|#|TX|#|UP-FORTH-BNSF|#|SINGLE|#|METHANOL|#|F|#||#||#|
"WOLSEY, SD","FORT PIERRE, SD",SINGLE,RCPE,10-34-0,T,2023-04-01,2024-03-31,108,,,,,,2121,21.64,22.52,0.2086,2023-04-01,grey,WOLSEY|#|SD|#|FORT PIERRE|#|SD|#|RCPE|#|SINGLE|#|10-34-0|#|T|#|2023-04-01|#|2024-03-31|#|
"SASKFERCO, SK","NEW HAMBURG, ON",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1707,,,,,,28558,366.13,381.63,0.2236,2023-01-01,grey,SASKFERCO|#|SK|#|NEW HAMBURG|#|ON|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"COURTRIGHT, ON","FARLEY, IA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,551,,,,,,9555,122.5,126.7,0.2299,2023-01-01,grey,COURTRIGHT|#|ON|#|FARLEY|#|IA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"CHALMETTE, LA","FOSTORIA, OH",SINGLE,NS,MAP,Q,,,1074,,"",,,,,,44.53,,2023-10-11,grey,CHALMETTE|#|LA|#|FOSTORIA|#|OH|#|NS|#|SINGLE|#|MAP|#|Q|#||#||#|
"OMAHA, NE","ALDEN, IA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,183,,,,,,5499,70.5,71.89,0.3929,2023-01-01,grey,OMAHA|#|NE|#|ALDEN|#|IA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"CHICAGO, IL","WISCONSIN RAPIDS, WI",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,276,,,,,,7245,92.88,94.99,0.3442,2023-01-01,grey,CHICAGO|#|IL|#|WISCONSIN RAPIDS|#|WI|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"WILMINGTON, NC","CHESAPEAKE, VA",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,318,,PF - VA CHESAPEAKE,4342,44.76,44.76,3499,36.07,36.07,0.1408,2023-03-01,blue,WILMINGTON|#|NC|#|CHESAPEAKE|#|VA|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - VA CHESAPEAKE
"CHICAGO, IL","HEMLOCK, MI",SINGLE,CSXT-PLYMT-LSRC-PAINE-MMRR,ATS,T,2023-07-01,2024-06-30,405,,PF - MI SAGINAW,,,,3953,40.34,40.34,0.0996,2023-07-01,grey,CHICAGO|#|IL|#|HEMLOCK|#|MI|#|CSXT-PLYMT-LSRC-PAINE-MMRR|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|PF - MI SAGINAW
"ROCK ISLAND, IL","ROSE VALLEY, SK",SINGLE,CPRS,DAP,C,2023-07-01,2024-06-30,1327,6.57,"",5231,53.93,60.49,4755,,55.59,0.0456,2023-07-01,grey,ROCK ISLAND|#|IL|#|ROSE VALLEY|#|SK|#|CPRS|#|SINGLE|#|DAP|#|C|#|2023-07-01|#|2024-06-30|#|
"FT WORTH, TX","MISSOULA, MT",SINGLE,BNSF,METHANOL,T,2023-10-01,2024-03-31,1760,,,,,,9795,,10375.8,0.067,2023-10-01,orange,FT WORTH|#|TX|#|MISSOULA|#|MT|#|BNSF|#|SINGLE|#|METHANOL|#|T|#|2023-10-01|#|2024-03-31|#|
"ENID, OK","GARDEN CITY, KS",SINGLE,BNSF,SUPERU,T,2023-01-01,2023-12-31,377,1.28,PT TO PT,,18,19.28,,15,16.28,0.0511,2023-01-01,orange,ENID|#|OK|#|GARDEN CITY|#|KS|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-01-01|#|2023-12-31|#|PT TO PT
"ENID, OK","FT MORGAN, CO",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,705,2.4,PT TO PT,,38.1,40.5,,38.1,40.5,0.0574,2023-07-01,orange,ENID|#|OK|#|FT MORGAN|#|CO|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"WILMINGTON, NC","SULLIVAN, OH",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,855,,PF - OH ATTICA,5646,58.21,58.21,4705,48.51,48.51,0.0681,2023-03-01,blue,WILMINGTON|#|NC|#|SULLIVAN|#|OH|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - OH ATTICA
"DEER PARK, TX","PARKER, AZ",SINGLE,BNSF,METHANOL,T,2023-10-01,2024-03-31,1510,,,,,,10600,,11098.3,0.0835,2023-10-01,orange,DEER PARK|#|TX|#|PARKER|#|AZ|#|BNSF|#|SINGLE|#|METHANOL|#|T|#|2023-10-01|#|2024-03-31|#|
