Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate,Rate Override,Custody Contract,Shipper,Custody Deal,Buy/Sell Deal,Comments,Product Category,Products
177137,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,DEWARD,Fixed,,Delivery,0,,,,,,,All,None
177238,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,DEWARD,Fixed,,Delivery,0,,,,,,,All,None
177154,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,DEWARD,Fixed,,Delivery,0.91,,,,,,,All,None
177255,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,DEWARD,Fixed,,Delivery,0.91,,,,,,,All,None
177178,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,DEWARD,Fixed,,Delivery,0,,,,,,,All,None
177279,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,DEWARD,Fixed,,Delivery,0,,,,,,,All,None
177191,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,WAKEFIELD,Location,DEWARD,Fixed,,Delivery,1.04,,,,,,,All,None
177292,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,WAKEFIELD,Location,DEWARD,Fixed,,Delivery,1.04,,,,,,,All,None
177097,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177198,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177107,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CLOW,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177208,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CLOW,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177112,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,DEWARD,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177213,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,DEWARD,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177138,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177239,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177155,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177256,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177167,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177268,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177179,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177280,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,EMERSON,Fixed,,Delivery,0,,,,,,,All,None
177120,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,ENGADINE,Fixed,,Delivery,1.57333,,,,,,,All,None
177221,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,ENGADINE,Fixed,,Delivery,1.57333,,,,,,,All,None
177139,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,ENGADINE,Fixed,,Delivery,0,,,,,,,All,None
177240,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,ENGADINE,Fixed,,Delivery,0,,,,,,,All,None
177156,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,ENGADINE,Fixed,,Delivery,0.64,,,,,,,All,None
177257,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,ENGADINE,Fixed,,Delivery,0.64,,,,,,,All,None
177098,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,FARWELL,Fixed,,Delivery,1.44,,,,,,,All,None
177199,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,FARWELL,Fixed,,Delivery,1.44,,,,,,,All,None
177121,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,FARWELL,Fixed,,Delivery,1.83754,,,,,,,All,None
