locationName,occupantPartyName,occupantType,statesTheyCompeteIn,occupantPartyId
ALLIED OIL-KANSAS CITY,ALLIED OIL TIRE COMPANY,Customer,,0010g00001d4Iqh
ALTER LOGISTICS-CAMANCHE,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Customer,"",0017000000yIUjP
ALTER LOGISTICS-CAMANCHE,ALTER LOGISTICS,Customer,"",0014u00001vTcnk
ALTER LOGISTICS-ROCK ISLAND,AMEROPA NORTH AMERICA INC,Customer,"",0017000000yIV2a
ALTER LOGISTICS-ROCK ISLAND,KOCH FERTILIZER LLC,Koch,IL|MO|SK|IA|ID|MB|AB|TN|WI|IN|ND|NE|OH|MI|MN|UT|MT|AL|WA|KS|ON|KY|FL|SD|OR|PA|CA|OK|TX|CO|AR|QC|PQ|CT|GA|NJ|NC|BC|SC,0017000000yIUvv
ALTER LOGISTICS-ROCK ISLAND,RIVER VALLEY COOPERATIVE,Customer,"",0017000000yIW29
AMERICAN PLANT-FORT WORTH,AMERICAN PLANT FOOD CORP GALENA PARK TX,Customer,,0017000000yIV2c
AMERICAN PLANT-LITTLEFIELD,AMERICAN PLANT FOOD CORP GALENA PARK TX,Customer,,0017000000yIV2c
AMERICAN PLANT-TROUP,CHARLIES FEED FERTILIZER LLC,Customer,,0010g00001iRKVb
AMERICHEM SALES (MASON),AMERICHEM SALES COMPANY,Customer,,0014u000020TT9a
ANDERSONS DELPHI,THE ANDERSONS INC,Competitor,IN|OH,0017000000yIUq2
ANDERSONS DUNKIRK,THE ANDERSONS INC,Competitor,IN|OH,0017000000yIUq2
ANDERSONS LOGANSPORT,THE ANDERSONS INC,Competitor,IN|OH,0017000000yIUq2
ANDERSONS MAUMEE,THE ANDERSONS INC,Competitor,MI|OH|IN,0017000000yIUq2
ANDERSONS PARKER CITY,THE ANDERSONS INC,Competitor,IN|OH,0017000000yIUq2
ANDERSONS PLANT-WARREN,THE ANDERSONS INC,Customer,,0017000000yIUq2
ANDERSONS PONETO,THE ANDERSONS INC,Competitor,IN|OH,0017000000yIUq2
ANDERSONS SEYMOUR,THE ANDERSONS INC,Competitor,IN|OH,0017000000yIUq2
ANDY GATES-MOHALL,BOWERS AERIAL LLC,Customer,,0014u00001txdls
ANTON COOPERATIVE-ANTON,ANTON COOPERATIVE ASSOCIATION,Customer,,0010g00001kinnO
APACHE FARMERS-APACHE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
APEX WAREHOUSING-FILER,JW AGRONOMICS LLC DBA HEFTY SEED COMPANY,Customer,,0010g00001gO6jf
APF GALENA PARK,AMERICAN PLANT FOOD CORP GALENA PARK TX,Competitor,TX,0017000000yIV2c
ARAGO FERTILIZER-FALLS CITY,INTERNATIONAL CHEMICAL COMPANY,Customer,,0017000000yIUxE
ARCLIN USA-ANDALUSIA,ARCLIN USA LLC,Customer,,0017000000yIUlr
