effectiveDate,expirationDate,lastUpdateDate,Country,productGroup,fsc
2023-09-30,2023-10-15,2025-03-31 16:13:37,CA,DRY,0.470
2023-09-30,2023-10-15,2025-03-31 16:13:37,CA,LIQUID,0.470
2023-09-30,2023-10-15,2025-03-31 16:13:37,CA,AMMONIA,0.470
2023-10-15,2023-10-31,2025-03-31 16:13:37,CA,DRY,0.450
2023-10-15,2023-10-31,2025-03-31 16:13:37,CA,LIQUID,0.450
2023-10-15,2023-10-31,2025-03-31 16:13:37,CA,AMMONIA,0.450
2023-10-31,2023-11-15,2025-03-31 16:13:37,CA,DRY,0.480
2023-10-31,2023-11-15,2025-03-31 16:13:37,CA,LIQUID,0.480
2023-10-31,2023-11-15,2025-03-31 16:13:37,CA,AMMONIA,0.480
2023-11-15,2023-11-30,2025-03-31 16:13:37,CA,DRY,0.500
2023-11-15,2023-11-30,2025-03-31 16:13:37,CA,LIQUID,0.500
2023-11-15,2023-11-30,2025-03-31 16:13:37,CA,AMMONIA,0.500
2023-11-30,2023-12-14,2025-03-31 16:13:37,CA,DRY,0.450
2023-11-30,2023-12-14,2025-03-31 16:13:37,CA,LIQUID,0.450
2023-11-30,2023-12-14,2025-03-31 16:13:37,CA,AMMONIA,0.450
2023-12-14,2023-12-30,2025-03-31 16:13:37,CA,DRY,0.410
2023-12-14,2023-12-30,2025-03-31 16:13:37,CA,LIQUID,0.410
2023-12-14,2023-12-30,2025-03-31 16:13:37,CA,AMMONIA,0.410
2023-12-30,2024-01-15,2025-03-31 16:13:37,CA,DRY,0.390
2023-12-30,2024-01-15,2025-03-31 16:13:37,CA,LIQUID,0.390
2023-12-30,2024-01-15,2025-03-31 16:13:37,CA,AMMONIA,0.390
2024-01-15,2024-01-31,2025-03-31 16:13:37,CA,DRY,0.380
2024-01-15,2024-01-31,2025-03-31 16:13:37,CA,LIQUID,0.380
2024-01-15,2024-01-31,2025-03-31 16:13:37,CA,AMMONIA,0.380
2024-01-31,2024-02-15,2025-03-31 16:13:37,CA,DRY,0.380
2024-01-31,2024-02-15,2025-03-31 16:13:37,CA,LIQUID,0.380
2024-01-31,2024-02-15,2025-03-31 16:13:37,CA,AMMONIA,0.380
2024-02-15,2024-02-29,2025-03-31 16:13:37,CA,DRY,0.420
2024-02-15,2024-02-29,2025-03-31 16:13:37,CA,LIQUID,0.420
2024-02-15,2024-02-29,2025-03-31 16:13:37,CA,AMMONIA,0.420
2024-02-29,2024-03-15,2025-03-31 16:13:37,CA,DRY,0.400
2024-02-29,2024-03-15,2025-03-31 16:13:37,CA,LIQUID,0.400
2024-02-29,2024-03-15,2025-03-31 16:13:37,CA,AMMONIA,0.400
2024-03-15,2024-03-28,2025-03-31 16:13:37,CA,DRY,0.410
2024-03-15,2024-03-28,2025-03-31 16:13:37,CA,LIQUID,0.410
2024-03-15,2024-03-28,2025-03-31 16:13:37,CA,AMMONIA,0.410
2024-03-28,2024-04-15,2025-03-31 16:13:37,CA,DRY,0.410
2024-03-28,2024-04-15,2025-03-31 16:13:37,CA,LIQUID,0.410
2024-03-28,2024-04-15,2025-03-31 16:13:37,CA,AMMONIA,0.410
2024-04-15,2024-04-30,2025-03-31 16:13:37,CA,DRY,0.420
2024-04-15,2024-04-30,2025-03-31 16:13:37,CA,LIQUID,0.420
2024-04-15,2024-04-30,2025-03-31 16:13:37,CA,AMMONIA,0.420
2024-04-30,2024-05-15,2025-03-31 16:13:37,CA,DRY,0.400
2024-04-30,2024-05-15,2025-03-31 16:13:37,CA,LIQUID,0.400
2024-04-30,2024-05-15,2025-03-31 16:13:37,CA,AMMONIA,0.400
2024-05-15,2024-05-31,2025-03-31 16:13:37,CA,DRY,0.380
