locationName,occupantPartyName,occupantId,logisticsProductGroupName
THE DELONG-CLINTON,The Delong Company Inc,1546dd8a-75e0-494e-8dac-c4482383e3fb,UAN
THE SCOTTS-MARYSVILLE,The Scotts Miracle-Gro Company dba The Scotts Company LLC,3cdc3d5b-101f-4660-b511-794ca129b540,UAN
TIMAC AGRO-SAINT LOUIS,Star of the West Milling Company,7605f2c2-2b7b-42b1-ae95-73d907a76b6e,UAN
TKI BILLINGS,Tessenderlo Kerley Inc,cbb9e20b-f0af-4997-b1dc-0d526d48d3ff,UAN
TKI HANFORD,Tessenderlo Kerley Inc,93d5172e-6f2b-4198-adfb-8ab01d575971,UAN
TWO RIVERS-UMATILLA,Two Rivers Terminal LLC,39507351-2167-4f16-a08f-93fd08fb9603,UAN
TYLER GRAIN-SMITHVILLE,Tyler Grain & Fertilizer Co Inc,67332cc4-8cdc-4f1b-b405-5be571e9df86,UAN
UNITED COOPERATIVE-REEDSBURG,United Cooperative (Beaver Dam WI),d0c6fda3-d17a-4333-aa94-2d1134bfed4c,UAN
VALLEY AGRONOMICS-MCMINNVILLE,Valley Agronomics LLC,cb5516ec-69f4-4f29-8669-e1af11d9b530,UAN
VALLEY WIDE-PRESTON,Valley Agronomics LLC,ab67c7bd-99c2-4c73-bf08-12ceff5cf702,UAN
WESTCO -MORRILL,Winfield Solutions LLC,eb9a0527-3ffe-4bf9-a64d-77fd8078c746,UAN
WESTERN CONSOLIDATED-APPLETON,Western Consolidated Cooperatives (Holloway MN),a61d38df-77d2-40e5-b600-ff3157e908ab,UAN
WESTERN CONSOLIDATED-TWIN BROOKS SD,ThorAg LLC,635a1d4c-e4f3-4579-8819-cd344e37590d,UAN
WESTERN PRODUCERS-ROCKY,Western Producers Cooperative,a626ad37-9f10-4577-86d8-58a6b8a5c4fd,UAN
WEYERS CAVE,Koch Fertilizer LLC,21429ca5-a33f-4ab2-afc5-71e2511c9bf1,UAN
WHEELER BROTHERS-CORDELL,"Wheeler Brothers Grain Company, LLC",f8a52fd1-b938-443c-81c5-daab43d9f82c,UAN
WHEELER BROTHERS-THOMAS,"Wheeler Brothers Grain Company, LLC",6a7fb74c-e020-4555-b7db-6cfe7a89f79b,UAN
WHITESVILLE CROP-CRAWFORDSVILLE,CHS Inc,0a43b1b4-c24f-4a99-9699-30506fe9ce6b,UAN
WILBURELLIS COMPANY-GRAND MARSH,Wilbur-Ellis Company,801bb7ff-3783-4380-ad2f-cd26b898d8c3,UAN
WILSON INDUSTRIAL-GOODLAND,"Co-Alliance Cooperative, Inc",486cbc43-219c-4d63-bab6-dd6441ffb4ec,UAN
WOLCOTT AGRONOMY-WOLCOTT,Gavilon Fertilizer LLC,c9b46314-644b-49f5-911c-84a05f06ea7d,UAN
YORK RAIL-YORK,GROWMARK INC,d902909c-2bf4-46b6-8618-b74d64bc914c,UAN
