originZipCode,originCountry,destinationZipCode,destinationCountry,distanceUom,distance
28401,US,27317,US,MI,192
28401,US,27320,US,MI,225
28401,US,27344,US,MI,171
28401,US,27349,US,MI,184
28401,US,27379,US,MI,198
28401,US,27503,US,MI,166
28401,US,27522,US,MI,156
28401,US,27530,US,MI,96
28401,US,27565,US,MI,180
28401,US,27573,US,MI,183
28401,US,27576,US,MI,110
28401,US,27820,US,MI,204
28401,US,27828,US,MI,129
28401,US,27834,US,MI,116
28401,US,27893,US,MI,122
28401,US,27962,US,MI,157
28401,US,28001,US,MI,176
28401,US,28103,US,MI,164
28401,US,28108,US,MI,184
28401,US,28110,US,MI,175
28401,US,28135,US,MI,154
28401,US,28150,US,MI,248
28401,US,28301,US,MI,91
28401,US,28320,US,MI,62
28401,US,28328,US,MI,61
28401,US,28334,US,MI,109
28401,US,28340,US,MI,74
28401,US,28341,US,MI,70
28401,US,28358,US,MI,79
28401,US,28365,US,MI,77
28401,US,28372,US,MI,93
28401,US,28376,US,MI,113
28401,US,28384,US,MI,94
28401,US,28398,US,MI,62
28401,US,28401,US,MI,10
28401,US,28404,US,MI,10
28401,US,28412,US,MI,10
28401,US,28420,US,MI,46
28401,US,28425,US,MI,24
28401,US,28430,US,MI,60
28401,US,28436,US,MI,19
28401,US,28455,US,MI,63
28401,US,28456,US,MI,20
28401,US,28466,US,MI,42
28401,US,28472,US,MI,48
28401,US,28501,US,MI,88
28401,US,28509,US,MI,109
28401,US,28513,US,MI,106
28401,US,28516,US,MI,103
28401,US,28518,US,MI,60
28401,US,28540,US,MI,58
28401,US,28560,US,MI,97
28401,US,28601,US,MI,263
28401,US,28609,US,MI,256
28401,US,28621,US,MI,278
28401,US,28625,US,MI,247
28401,US,29001,US,MI,170
28401,US,29016,US,MI,207
28401,US,29041,US,MI,183
28401,US,29501,US,MI,118
28401,US,29526,US,MI,85
28401,US,29532,US,MI,126
28401,US,29536,US,MI,100
28401,US,29556,US,MI,146
28401,US,29563,US,MI,80
28401,US,29567,US,MI,110
28401,US,29569,US,MI,72
28401,US,29571,US,MI,94
28401,US,29573,US,MI,106
28401,US,29581,US,MI,78
28401,US,29709,US,MI,146
28401,US,35150,US,MI,554
28401,US,43207,US,MI,606
28401,US,43935,US,MI,627
28412,US,15501,US,MI,534
28412,US,15522,US,MI,496
28412,US,15557,US,MI,537
28412,US,16156,US,MI,650
28412,US,16664,US,MI,501
28412,US,17011,US,MI,474
28412,US,17325,US,MI,440
28412,US,17356,US,MI,461
28412,US,17573,US,MI,484
28412,US,17601,US,MI,484
28412,US,17822,US,MI,543
28412,US,19067,US,MI,543
28412,US,19963,US,MI,420
28412,US,20175,US,MI,384
28412,US,20622,US,MI,348
28412,US,21550,US,MI,505
28412,US,22079,US,MI,348
28412,US,22191,US,MI,344
28412,US,22202,US,MI,365
28412,US,22313,US,MI,356
28412,US,22314,US,MI,356
28412,US,22560,US,MI,307
28412,US,22664,US,MI,407
28412,US,22701,US,MI,346
28412,US,22801,US,MI,390
28412,US,22812,US,MI,388
28412,US,22853,US,MI,408
28412,US,22901,US,MI,335
28412,US,22960,US,MI,338
28412,US,23063,US,MI,292
28412,US,23086,US,MI,294
28412,US,23093,US,MI,322
28412,US,23224,US,MI,259
28412,US,23234,US,MI,258
28412,US,23315,US,MI,242
28412,US,23320,US,MI,277
28412,US,23432,US,MI,265
28412,US,23433,US,MI,262
28412,US,23434,US,MI,254
28412,US,23801,US,MI,242
28412,US,23824,US,MI,237
28412,US,23828,US,MI,203
28412,US,23837,US,MI,225
28412,US,23842,US,MI,238
28412,US,23847,US,MI,197
28412,US,23888,US,MI,246
28412,US,23901,US,MI,259
28412,US,23922,US,MI,254
28412,US,23923,US,MI,244
28412,US,23924,US,MI,222
28412,US,23936,US,MI,284
28412,US,23938,US,MI,227
28412,US,23950,US,MI,207
28412,US,24013,US,MI,306
28412,US,24082,US,MI,271
28412,US,24084,US,MI,338
28412,US,24091,US,MI,294
28412,US,24112,US,MI,243
28412,US,24120,US,MI,279
28412,US,24134,US,MI,355
28412,US,24137,US,MI,257
28412,US,24151,US,MI,282
28412,US,24162,US,MI,313
28412,US,24175,US,MI,307
28412,US,24184,US,MI,275
28412,US,24201,US,MI,395
28412,US,24202,US,MI,395
28412,US,24266,US,MI,403
28412,US,24333,US,MI,310
28412,US,24343,US,MI,302
28412,US,24354,US,MI,353
28412,US,24361,US,MI,374
28412,US,24363,US,MI,331
28412,US,24382,US,MI,327
28412,US,24401,US,MI,373
28412,US,24450,US,MI,363
28412,US,24486,US,MI,384
28412,US,24523,US,MI,283
28412,US,24529,US,MI,207
28412,US,24531,US,MI,232
28412,US,24539,US,MI,221
28412,US,24541,US,MI,217
28412,US,24558,US,MI,217
28412,US,24651,US,MI,380
28412,US,27006,US,MI,230
28412,US,27007,US,MI,269
28412,US,27017,US,MI,280
28412,US,27030,US,MI,273
