origin_city_state,dest_city_state,comm,orig_city,orig_state,dest_city,dest_state
"BRANDON, MB","COLLINS, MT",UAN,BRANDON,MB,COLLINS,MT
"BRANDON, MB","CONRAD, MT",ATS,BRANDON,MB,CONRAD,MT
"BRANDON, MB","CONRAD, MT",UAN,BRANDON,MB,CONRAD,MT
"BRANDON, MB","CORINNE, UT",UAN,BRANDON,MB,CORINNE,UT
"BRANDON, MB","CORSON, SD",ATS,BRANDON,MB,CORSON,SD
"BRANDON, MB","CORSON, SD",UAN,BRANDON,MB,CORSON,SD
"BRANDON, MB","COUTTS, AB",UAN,BRANDON,MB,COUTTS,AB
"BRANDON, MB","CRAVEN, SD",ATS,BRANDON,MB,CRAVEN,SD
"BRANDON, MB","CRESCENT CITY, IL",UAN,BRANDON,MB,CRESCENT CITY,IL
"BRANDON, MB","CRESTLINE, OH",UAN,BRANDON,MB,CRESTLINE,OH
"BRANDON, MB","CRESTON, WA",UAN,BRANDON,MB,CRESTON,WA
"BRANDON, MB","CROSSFIELD, AB",UAN,BRANDON,MB,CROSSFIELD,AB
"BRANDON, MB","CUSTAR, OH",UAN,BRANDON,MB,CUSTAR,OH
"BRANDON, MB","CYGNET, OH",UAN,BRANDON,MB,CYGNET,OH
"BRANDON, MB","DALLAS, OR",UAN,BRANDON,MB,DALLAS,OR
"BRANDON, MB","DANSVILLE, NY",UAN,BRANDON,MB,DANSVILLE,NY
"BRANDON, MB","DANVILLE, IL",UAN,BRANDON,MB,DANVILLE,IL
"BRANDON, MB","DANVILLE, IN",UAN,BRANDON,MB,DANVILLE,IN
"BRANDON, MB","DARLINGTON, SC",UAN,BRANDON,MB,DARLINGTON,SC
"BRANDON, MB","DECATUR, IL",AMMONIA,BRANDON,MB,DECATUR,IL
"BRANDON, MB","DECATUR, MI",UAN,BRANDON,MB,DECATUR,MI
"BRANDON, MB","DEFIANCE, OH",UAN,BRANDON,MB,DEFIANCE,OH
"BRANDON, MB","DELAFIELD, IL",UAN,BRANDON,MB,DELAFIELD,IL
"BRANDON, MB","DELTA, UT",UAN,BRANDON,MB,DELTA,UT
"BRANDON, MB","DENMARK, WI",UAN,BRANDON,MB,DENMARK,WI
"BRANDON, MB","DETROIT, ME",UAN,BRANDON,MB,DETROIT,ME
"BRANDON, MB","DONALD, OR",UAN,BRANDON,MB,DONALD,OR
"BRANDON, MB","DOON, IA",UAN,BRANDON,MB,DOON,IA
"BRANDON, MB","DURANT, IA",UAN,BRANDON,MB,DURANT,IA
"BRANDON, MB","EARLTON, ON",UAN,BRANDON,MB,EARLTON,ON
"BRANDON, MB","EAST SAUGATUCK, MI",UAN,BRANDON,MB,EAST SAUGATUCK,MI
"BRANDON, MB","EASTON, MN",UAN,BRANDON,MB,EASTON,MN
"BRANDON, MB","EDENTON, NC",UAN,BRANDON,MB,EDENTON,NC
"BRANDON, MB","EDGAR, MT",UAN,BRANDON,MB,EDGAR,MT
"BRANDON, MB","EDGERTON, WI",UAN,BRANDON,MB,EDGERTON,WI
"BRANDON, MB","EDISON, NE",ATS,BRANDON,MB,EDISON,NE
"BRANDON, MB","EDON, OH",UAN,BRANDON,MB,EDON,OH
"BRANDON, MB","EDWALL, WA",ATS,BRANDON,MB,EDWALL,WA
"BRANDON, MB","EDWALL, WA",UAN,BRANDON,MB,EDWALL,WA
"BRANDON, MB","ELDORADO, IL",AMMONIA,BRANDON,MB,ELDORADO,IL
"BRANDON, MB","ELDORADO, IL",UAN,BRANDON,MB,ELDORADO,IL
"BRANDON, MB","ELKHART, IN",UAN,BRANDON,MB,ELKHART,IN
"BRANDON, MB","EVANSVILLE, WI",UAN,BRANDON,MB,EVANSVILLE,WI
"BRANDON, MB","EVERLY, IA",UAN,BRANDON,MB,EVERLY,IA
"BRANDON, MB","FAIRFAX, SC",10-34-0,BRANDON,MB,FAIRFAX,SC
"BRANDON, MB","FAIRFAX, SC",UAN,BRANDON,MB,FAIRFAX,SC
"BRANDON, MB","FAIRFIELD, MT",ATS,BRANDON,MB,FAIRFIELD,MT
"BRANDON, MB","FAIRFIELD, MT",UAN,BRANDON,MB,FAIRFIELD,MT
"BRANDON, MB","FAIRFIELD, WA",UAN,BRANDON,MB,FAIRFIELD,WA
"BRANDON, MB","FAIRMOUNT, ND",UAN,BRANDON,MB,FAIRMOUNT,ND
"BRANDON, MB","FARMERSBURG, IN",UAN,BRANDON,MB,FARMERSBURG,IN
"BRANDON, MB","FLAT ROCK, MI",AMMONIA,BRANDON,MB,FLAT ROCK,MI
"BRANDON, MB","FLAT ROCK, MI",UAN,BRANDON,MB,FLAT ROCK,MI
"BRANDON, MB","FORT PIERRE, SD",UAN,BRANDON,MB,FORT PIERRE,SD
"BRANDON, MB","FOWLER, IN",UAN,BRANDON,MB,FOWLER,IN
"BRANDON, MB","FOWLERVILLE, MI",UAN,BRANDON,MB,FOWLERVILLE,MI
"BRANDON, MB","FRANCESVILLE, IN",UAN,BRANDON,MB,FRANCESVILLE,IN
"BRANDON, MB","FRANKLIN, KY",UAN,BRANDON,MB,FRANKLIN,KY
"BRANDON, MB","FREMONT, MI",UAN,BRANDON,MB,FREMONT,MI
"BRANDON, MB","FRITCHTON, IN",UAN,BRANDON,MB,FRITCHTON,IN
"BRANDON, MB","FT FAIRFIELD, ME",UAN,BRANDON,MB,FT FAIRFIELD,ME
"BRANDON, MB","GARNER, IA",AMMONIA,BRANDON,MB,GARNER,IA
"BRANDON, MB","GARRETSON, SD",ATS,BRANDON,MB,GARRETSON,SD
"BRANDON, MB","GARRETSON, SD",UAN,BRANDON,MB,GARRETSON,SD
"BRANDON, MB","GARRETT, IN",UAN,BRANDON,MB,GARRETT,IN
"BRANDON, MB","GILMAN, IL",UAN,BRANDON,MB,GILMAN,IL
"BRANDON, MB","GLADE SPRING, VA",UAN,BRANDON,MB,GLADE SPRING,VA
"BRANDON, MB","GRAND FORKS, ND",UAN,BRANDON,MB,GRAND FORKS,ND
"BRANDON, MB","GRAND RAPIDS, MI",UAN,BRANDON,MB,GRAND RAPIDS,MI
"BRANDON, MB","GRANT, MI",UAN,BRANDON,MB,GRANT,MI
"BRANDON, MB","GRAYTOWN, OH",UAN,BRANDON,MB,GRAYTOWN,OH
"BRANDON, MB","GREAT FALLS, MT",ATS,BRANDON,MB,GREAT FALLS,MT
"BRANDON, MB","GREAT FALLS, MT",UAN,BRANDON,MB,GREAT FALLS,MT
"BRANDON, MB","GREBNER, SD",ATS,BRANDON,MB,GREBNER,SD
"BRANDON, MB","GREBNER, SD",UAN,BRANDON,MB,GREBNER,SD
"BRANDON, MB","GREENLEAF, ID",UAN,BRANDON,MB,GREENLEAF,ID
"BRANDON, MB","GREENVILLE, OH",UAN,BRANDON,MB,GREENVILLE,OH
"BRANDON, MB","GREENWOOD (DCR), DE",UAN,BRANDON,MB,GREENWOOD (DCR),DE
"BRANDON, MB","HAGERSTOWN, IN",UAN,BRANDON,MB,HAGERSTOWN,IN
"BRANDON, MB","HAMILTON, MI",UAN,BRANDON,MB,HAMILTON,MI
"BRANDON, MB","HAMILTON, ON",UAN,BRANDON,MB,HAMILTON,ON
"BRANDON, MB","HAMLIN, SK",UAN,BRANDON,MB,HAMLIN,SK
"BRANDON, MB","HAMPTON, IA",UAN,BRANDON,MB,HAMPTON,IA
"BRANDON, MB","HANSEN, ID",UAN,BRANDON,MB,HANSEN,ID
"BRANDON, MB","HARDIN, MT",UAN,BRANDON,MB,HARDIN,MT
"BRANDON, MB","HARRISON, MT",UAN,BRANDON,MB,HARRISON,MT
"BRANDON, MB","HARTFORD, MI",UAN,BRANDON,MB,HARTFORD,MI
"BRANDON, MB","HARVEY, ND",UAN,BRANDON,MB,HARVEY,ND
"BRANDON, MB","HEDGES, WA",UAN,BRANDON,MB,HEDGES,WA
"BRANDON, MB","HEMLOCK, MI",UAN,BRANDON,MB,HEMLOCK,MI
"BRANDON, MB","HENSALL, ON",UAN,BRANDON,MB,HENSALL,ON
"BRANDON, MB","HESPER, MT",UAN,BRANDON,MB,HESPER,MT
"BRANDON, MB","HICKSVILLE, OH",UAN,BRANDON,MB,HICKSVILLE,OH
"BRANDON, MB","HINGHAM, MT",UAN,BRANDON,MB,HINGHAM,MT
"BRANDON, MB","HINKLE, OR",UAN,BRANDON,MB,HINKLE,OR
"BRANDON, MB","HOLGATE, OH",UAN,BRANDON,MB,HOLGATE,OH
"BRANDON, MB","HOOPESTON, IL",UAN,BRANDON,MB,HOOPESTON,IL
"BRANDON, MB","HOPMERE, OR",UAN,BRANDON,MB,HOPMERE,OR
