carrier,effectiveDate,expirationDate,lastUpdateDate,updatedBy,fuelSurchargeRate,currency,productGroup
BNSF,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.12,USD,ALL
CN,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.4475,CAD,ALL
CN,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.37,USD,ALL
CPRS,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.3785,CAD,ALL
CPRS,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.28,USD,ALL
CSXT,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0,USD,DRY
CSXT,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0,USD,LIQUID
CSXT,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0,USD,AMMONIA
CSXT,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0,USD,DEF
CSXT,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.43,USD,METHANOL
GWI,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.54,USD,ALL
KCS,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.39,USD,ALL
LSRC,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.43,USD,ALL
NS,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.3,USD,ALL
TCWR,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.33,USD,ALL
UP,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.33,USD,ALL
WSOR,10/1/2024,,10/1/2024 7:58,Dirk Townsend,0.5,USD,ALL
