originLocation,destinationLocation,equipmentType,productType
"BRANDON, MB","CRESTLINE, OH",SINGLE,UAN
"BRANDON, MB","CRESTON, WA",SINGLE,UAN
"BRANDON, MB","CROSSFIELD, AB",SINGLE,10-34-0
"BRANDON, MB","CROSSFIELD, AB",SINGLE,ATS
"BRANDON, MB","CROSSFIELD, AB",SINGLE,UAN
"BRANDON, MB","CUSTAR, OH",SINGLE,ATS
"BRANDON, MB","CUSTAR, OH",SINGLE,UAN
"BRANDON, MB","CYGNET, OH",SINGLE,ATS
"BRANDON, MB","CYGNET, OH",SINGLE,UAN
"BRANDON, MB","DANSVILLE, NY",SINGLE,ATS
"BRANDON, MB","DANSVILLE, NY",SINGLE,UAN
"BRANDON, MB","DANVILLE, IL",SINGLE,ATS
"BRANDON, MB","DANVILLE, IL",SINGLE,UAN
"BRANDON, MB","DANVILLE, IN",SINGLE,ATS
"BRANDON, MB","DANVILLE, IN",SINGLE,UAN
"BRANDON, MB","DARLINGTON, SC",SINGLE,ATS
"BRANDON, MB","DARLINGTON, SC",SINGLE,UAN
"BRANDON, MB","DECATUR, IL",SINGLE,AMMONIA
"BRANDON, MB","DECATUR, MI",SINGLE,10-34-0
"BRANDON, MB","DECATUR, MI",SINGLE,ATS
"BRANDON, MB","DECATUR, MI",SINGLE,UAN
"BRANDON, MB","DEFIANCE, OH",SINGLE,ATS
"BRANDON, MB","DEFIANCE, OH",SINGLE,UAN
"BRANDON, MB","DELAFIELD, IL",SINGLE,ATS
"BRANDON, MB","DELAFIELD, IL",SINGLE,UAN
"BRANDON, MB","DELTA, UT",SINGLE,UAN
"BRANDON, MB","DENMARK, WI",SINGLE,10-34-0
"BRANDON, MB","DENMARK, WI",SINGLE,ATS
"BRANDON, MB","DENMARK, WI",SINGLE,UAN
"BRANDON, MB","DETROIT, ME",SINGLE,ATS
"BRANDON, MB","DETROIT, ME",SINGLE,UAN
"BRANDON, MB","DONALD, OR",SINGLE,UAN
"BRANDON, MB","DOON, IA",SINGLE,UAN
"BRANDON, MB","DURANT, IA",SINGLE,10-34-0
"BRANDON, MB","DURANT, IA",SINGLE,ATS
"BRANDON, MB","DURANT, IA",SINGLE,UAN
"BRANDON, MB","EARLTON, ON",SINGLE,10-34-0
"BRANDON, MB","EARLTON, ON",SINGLE,ATS
"BRANDON, MB","EARLTON, ON",SINGLE,UAN
"BRANDON, MB","EAST SAUGATUCK, MI",SINGLE,ATS
"BRANDON, MB","EAST SAUGATUCK, MI",SINGLE,UAN
"BRANDON, MB","EASTON, MN",SINGLE,10-34-0
"BRANDON, MB","EASTON, MN",SINGLE,ATS
"BRANDON, MB","EASTON, MN",SINGLE,UAN
"BRANDON, MB","EDENTON, NC",SINGLE,10-34-0
"BRANDON, MB","EDENTON, NC",SINGLE,ATS
"BRANDON, MB","EDENTON, NC",SINGLE,UAN
"BRANDON, MB","EDGAR, MT",SINGLE,UAN
"BRANDON, MB","EDGERTON, WI",SINGLE,10-34-0
"BRANDON, MB","EDGERTON, WI",SINGLE,ATS
"BRANDON, MB","EDGERTON, WI",SINGLE,UAN
"BRANDON, MB","EDISON, NE",SINGLE,ATS
"BRANDON, MB","EDON, OH",SINGLE,10-34-0
"BRANDON, MB","EDON, OH",SINGLE,ATS
"BRANDON, MB","EDON, OH",SINGLE,UAN
"BRANDON, MB","EDWALL, WA",SINGLE,10-34-0
"BRANDON, MB","EDWALL, WA",SINGLE,ATS
"BRANDON, MB","EDWALL, WA",SINGLE,UAN
"BRANDON, MB","ELDORADO, IL",SINGLE,10-34-0
"BRANDON, MB","ELDORADO, IL",SINGLE,AMMONIA
"BRANDON, MB","ELDORADO, IL",SINGLE,ATS
"BRANDON, MB","ELDORADO, IL",SINGLE,UAN
"BRANDON, MB","ELKHART, IN",SINGLE,10-34-0
"BRANDON, MB","ELKHART, IN",SINGLE,ATS
"BRANDON, MB","ELKHART, IN",SINGLE,UAN
"BRANDON, MB","EVANSVILLE, WI",SINGLE,UAN
"BRANDON, MB","EVERLY, IA",SINGLE,10-34-0
"BRANDON, MB","EVERLY, IA",SINGLE,ATS
"BRANDON, MB","EVERLY, IA",SINGLE,UAN
"BRANDON, MB","FAIRFAX, SC",SINGLE,10-34-0
"BRANDON, MB","FAIRFAX, SC",SINGLE,ATS
"BRANDON, MB","FAIRFAX, SC",SINGLE,UAN
"BRANDON, MB","FAIRFIELD, MT",SINGLE,ATS
"BRANDON, MB","FAIRFIELD, MT",SINGLE,UAN
"BRANDON, MB","FAIRFIELD, WA",SINGLE,UAN
"BRANDON, MB","FAIRMOUNT, ND",SINGLE,10-34-0
"BRANDON, MB","FAIRMOUNT, ND",SINGLE,ATS
"BRANDON, MB","FAIRMOUNT, ND",SINGLE,UAN
"BRANDON, MB","FARMER CITY, IL",SINGLE,10-34-0
"BRANDON, MB","FARMER CITY, IL",SINGLE,ATS
